ID,Name,Definition,Synonyms,Xrefs,Is_Obsolete
DOID:0000000,gallbladder disease,,,GeneRIF:14567398; GeneRIF:14704000; ICD9CM_1986:575.8; ICD9CM_1986:575.9; ICD9CM_1987:575.8; ICD9CM_1987:575.9; ICD9CM_1988:575.8; ICD9CM_1988:575.9; ICD9CM_1989:575.8; ICD9CM_1989:575.9; ICD9CM_1990:575.8; ICD9CM_1990:575.9; ICD9CM_1991:575.8; ICD9CM_1991:575.9; ICD9CM_1992:575.8; ICD9CM_1992:575.9; ICD9CM_1993:575.8; ICD9CM_1993:575.9; ICD9CM_1994:575.8; ICD9CM_1994:575.9; ICD9CM_1995:575.8; ICD9CM_1995:575.9; ICD9CM_1996:575.8; ICD9CM_1996:575.9; ICD9CM_1997:575.8; ICD9CM_1997:575.9; ICD9CM_1998:575.8; ICD9CM_1998:575.9; ICD9CM_1999:575.8; ICD9CM_1999:575.9; ICD9CM_2000:575.8; ICD9CM_2000:575.9; ICD9CM_2001:575.8; ICD9CM_2001:575.9; ICD9CM_2002:575.8; ICD9CM_2002:575.9; ICD9CM_2003:575.8; ICD9CM_2003:575.9; ICD9CM_2004:575.8; ICD9CM_2004:575.9; ICD9CM_2005:575.8; ICD9CM_2005:575.9; ICD9CM_2006:575.9; MSH2005_2005_01_17:M0008958; NCI2004_11_17:C34631; SNOMEDCT_2005_01_31:197428002; SNOMEDCT_2005_01_31:197434009; SNOMEDCT_2005_01_31:197563005; SNOMEDCT_2005_01_31:266542008; SNOMEDCT_2005_01_31:39621005; UMLS_CSP2004_AUI:A0319001; UMLS_CUI:C0016977; UMLS_CUI:C0348758; UMLS_ICD9CM_2005_AUI:A0242579; UMLS_ICD9CM_2005_AUI:A0242581; UMLS_ICD9CM_2006_AUI:A8341517; UMLS_MSH2005_2005_01_17_AUI:A0031279; UMLS_MSH2005_2005_01_17_AUI:A0031281; UMLS_MSH2005_2005_01_17_AUI:A0049731; UMLS_MSH2005_2005_01_17_AUI:A0049997; UMLS_MSH2005_2005_01_17_AUI:A0049998; UMLS_MSH2005_2005_01_17_AUI:A0061698; UMLS_MSH2005_2005_01_17_AUI:A0061699; UMLS_MSH2005_2005_01_17_AUI:A0061728; UMLS_MSH2005_2005_01_17_AUI:A0061729; UMLS_MSH2005_2005_01_17_AUI:A0406956; UMLS_NCI2004_11_17_AUI:A7570695; UMLS_NCI2004_11_17_AUI:A7597299; UMLS_SNOMEDCT_2005_01_31_AUI:A3053610; UMLS_SNOMEDCT_2005_01_31_AUI:A3086996; UMLS_SNOMEDCT_2005_01_31_AUI:A3177873; UMLS_SNOMEDCT_2005_01_31_AUI:A3274262; UMLS_SNOMEDCT_2005_01_31_AUI:A3274731; UMLS_SNOMEDCT_2005_01_31_AUI:A3319696; UMLS_SNOMEDCT_2005_01_31_AUI:A3471385; UMLS_SNOMEDCT_2005_01_31_AUI:A3609396; UMLS_SNOMEDCT_2005_01_31_AUI:A3609397; UMLS_SNOMEDCT_2005_01_31_AUI:A3799650; UMLS_SNOMEDCT_2005_01_31_AUI:A6921285; UMLS_SNOMEDCT_2005_01_31_AUI:A6938303; UMLS_ST:T047,False
DOID:0000109,maturation disease,,,,False
DOID:0000405,disease of response to stimulus,,,,False
DOID:0000634,body growth disease,,,,False
DOID:0000725,cell growth disease,,,,False
DOID:0000815,spleen disease,,,,False
DOID:0000818,cell proliferation disease,,,,False
DOID:0014667,disease of metabolism,,"""Disorder of metabolism NOS"" EXACT [SNOMEDCT_2005_07_31:190961002]; ""Disorder of metabolism NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:267456000]; ""Generalized metabolic disorder (disorder)"" EXACT [SNOMEDCT_2005_07_31:30390004]; ""Metabolic disease (disorder)"" EXACT [SNOMEDCT_2005_07_31:75934005]; ""Metabolic Disorder"" EXACT [NCI2004_11_17:C3235]; ""Metabolic disorders"" EXACT [SNOMEDCT_2005_07_31:154733004]; ""metabolism disorder"" EXACT [CSP2005:1846-2030]; ""Unspecified disorder of metabolism"" EXACT [ICD9CM_2006:277.9]",GeneRIF:12093894; GeneRIF:12215968; GeneRIF:12242462; GeneRIF:12707035; GeneRIF:12815182; GeneRIF:12824951; GeneRIF:14592951; GeneRIF:15231871; GeneRIF:15246202; GeneRIF:15277400; GeneRIF:15677734; GeneRIF:16018179; ICD9CM_1986:277.9; ICD9CM_1987:277.9; ICD9CM_1988:277.9; ICD9CM_1989:277.9; ICD9CM_1990:277.9; ICD9CM_1991:277.9; ICD9CM_1992:277.9; ICD9CM_1993:277.9; ICD9CM_1994:277.9; ICD9CM_1995:277.9; ICD9CM_1996:277.9; ICD9CM_1997:277.9; ICD9CM_1998:277.9; ICD9CM_1999:277.9; ICD9CM_2000:277.9; ICD9CM_2001:277.9; ICD9CM_2002:277.9; ICD9CM_2003:277.9; ICD9CM_2004:277.9; ICD9CM_2005:277.9; ICD9CM_2006:277.9; MSH2005_2005_01_17:M0013493; MSH2006_2005_11_15:D008659; NCI2004_11_17:C3235; SNOMEDCT_2005_01_31:267456000; SNOMEDCT_2005_01_31:30390004; SNOMEDCT_2005_01_31:75934005; UMLS_CSP2004_AUI:A0483676; UMLS_CUI:C0025517; UMLS_ICD9CM_2005_AUI:A0240777; UMLS_ICD9CM_2006_AUI:A8340980; UMLS_MSH2005_2005_01_17_AUI:A0049803; UMLS_MSH2005_2005_01_17_AUI:A0050053; UMLS_MSH2005_2005_01_17_AUI:A0085261; UMLS_MSH2005_2005_01_17_AUI:A0085262; UMLS_MSH2005_2005_01_17_AUI:A1102652; UMLS_MSH2005_2005_01_17_AUI:A1102653; UMLS_NCI2004_11_17_AUI:A7572099; UMLS_NCI2004_11_17_AUI:A7572100; UMLS_NCI2004_11_17_AUI:A7584878; UMLS_NCI2004_11_17_AUI:A7607967; UMLS_SNOMEDCT_2005_01_31_AUI:A2938056; UMLS_SNOMEDCT_2005_01_31_AUI:A2966065; UMLS_SNOMEDCT_2005_01_31_AUI:A3015643; UMLS_SNOMEDCT_2005_01_31_AUI:A3274788; UMLS_SNOMEDCT_2005_01_31_AUI:A3322130; UMLS_SNOMEDCT_2005_01_31_AUI:A3400311; UMLS_SNOMEDCT_2005_01_31_AUI:A3473919; UMLS_SNOMEDCT_2005_01_31_AUI:A3474061; UMLS_SNOMEDCT_2005_01_31_AUI:A3559520; UMLS_ST:T047,False
DOID:1,acellular anatomical structure disease,,,,False
DOID:10,disease of body,,,,False
