Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,database_cross_reference,definition,has ontology root term,has_alternative_id,has_exact_synonym,has_obo_format_version,has_obo_namespace,has_related_synonym,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,part_of,term replaced by
http://purl.obolibrary.org/obo/SYMP_0000829,neck pain,,"A pain that is characterized by an unpleasant sensation localized in the neck that usually indicates the body is threatened or damaged. The sensation may be sharp or dull, short-lived or chronic, intermittent or continual.",false,,,http://purl.obolibrary.org/obo/SYMP_0000099,,"A pain that is characterized by an unpleasant sensation localized in the neck that usually indicates the body is threatened or damaged. The sensation may be sharp or dull, short-lived or chronic, intermittent or continual.",,,,,symptoms,,,,,,,,,,SYMP:0000829,,,neck pain,,SYMP:0000829,,
http://purl.obolibrary.org/obo/SYMP_0000821,swelling in chest,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000514,,,,,,,symptoms,,,,,,,,,,SYMP:0000821,,,swelling in chest,,SYMP:0000821,,
http://purl.obolibrary.org/obo/SYMP_0000826,sinus tachycardia,,Sinus tachycardia is a tachychardia characterized by an abnormally rapid sinus rhythm specifically a sinus rhythm at a rate greater than 100 beats per minute.,false,,,http://purl.obolibrary.org/obo/SYMP_0000529,,Sinus tachycardia is a tachychardia characterized by an abnormally rapid sinus rhythm specifically a sinus rhythm at a rate greater than 100 beats per minute.,,,,,symptoms,,,,,,,,,,SYMP:0000826,,,sinus tachycardia,,SYMP:0000826,,
http://purl.obolibrary.org/obo/SYMP_0000825,paroxysmal tachycardia,,Paroxysmal tachycardia is a tachycardia that begins and ends abruptly and that is initiated by a premature supraventricular beat originating in the atrium or in the atrioventricular node or bundle of His or by a premature ventricular beat.,false,,,http://purl.obolibrary.org/obo/SYMP_0000529,,Paroxysmal tachycardia is a tachycardia that begins and ends abruptly and that is initiated by a premature supraventricular beat originating in the atrium or in the atrioventricular node or bundle of His or by a premature ventricular beat.,,,,,symptoms,,,,,,,,,,SYMP:0000825,,,paroxysmal tachycardia,,SYMP:0000825,,
http://purl.obolibrary.org/obo/SYMP_0000827,ventricular tachycardia,V-tach|VT,"A tachycardia that is associated with the generation of improper electrical impulses within the ventricles, characterized by an electrocardiogram showing a rate of greater than 120 BPM and three or more wide QRS complexes in a row.",false,,,http://purl.obolibrary.org/obo/SYMP_0000529,,"A tachycardia that is associated with the generation of improper electrical impulses within the ventricles, characterized by an electrocardiogram showing a rate of greater than 120 BPM and three or more wide QRS complexes in a row.",,,V-tach|VT,,symptoms,,,,,,,,,,SYMP:0000827,,,ventricular tachycardia,,SYMP:0000827,,
http://purl.obolibrary.org/obo/SYMP_0000828,sore eyes,,Sore eyes is a eye symptom characterized by an inflammation of the thin covering of the eyeball and the inner eyelid brought about by a viral infection which may be highly contagious.,false,,,http://purl.obolibrary.org/obo/SYMP_0019163,,Sore eyes is a eye symptom characterized by an inflammation of the thin covering of the eyeball and the inner eyelid brought about by a viral infection which may be highly contagious.,,,,,symptoms,,,,,,,,,,SYMP:0000828,,,sore eyes,,SYMP:0000828,,
http://purl.obolibrary.org/obo/SYMP_0000820,mass in chest,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000514,ICD9CM_2005:786.6,,,,,,symptoms,,,,,,,,,,SYMP:0000820,,,mass in chest,,SYMP:0000820,,
http://purl.obolibrary.org/obo/SYMP_0000822,chronic enteritis,,"Chronic enteritis is a enteritis with slow progress, long duration, or frequent recurrence which can be due to Crohn's disease, giardiasis, tuberculosis, coeliac disease, or rarely due to Whipple's disease.",false,,,http://purl.obolibrary.org/obo/SYMP_0000039,,"Chronic enteritis is a enteritis with slow progress, long duration, or frequent recurrence which can be due to Crohn's disease, giardiasis, tuberculosis, coeliac disease, or rarely due to Whipple's disease.",,,,,symptoms,,,,,,,,,,SYMP:0000822,,,chronic enteritis,,SYMP:0000822,,
http://purl.obolibrary.org/obo/SYMP_0000823,sinus bradycardia,,Sinus bradycardia is a bradycardia where the sinus rhythm is abnormally slow bradycardia consisting of a sinus rhythm at a rate lower than 60 beats per minute.,false,,,http://purl.obolibrary.org/obo/SYMP_0000231,,Sinus bradycardia is a bradycardia where the sinus rhythm is abnormally slow bradycardia consisting of a sinus rhythm at a rate lower than 60 beats per minute.,,,,,symptoms,,,,,,,,,,SYMP:0000823,,,sinus bradycardia,,SYMP:0000823,,
http://purl.obolibrary.org/obo/SYMP_0000824,junctional tachycardia,,Junctional tachycardia is a tachycardia associated with the generation of impulses in a locus in the region of the atrioventricular node.,false,,,http://purl.obolibrary.org/obo/SYMP_0000529,,Junctional tachycardia is a tachycardia associated with the generation of impulses in a locus in the region of the atrioventricular node.,,,,,symptoms,,,,,,,,,,SYMP:0000824,,,junctional tachycardia,,SYMP:0000824,,
http://purl.obolibrary.org/obo/SYMP_0000897,ventricular bradycardia,ventricular escape rhythm|idioventricular rhythm,"A bradycardia associated with the generation of impules in the ventricles when impules from the atria fail to reach them, characterized by an electrocardiogram showing a heart rate below 50 BPM and a broad QRS complex.",false,,,http://purl.obolibrary.org/obo/SYMP_0000231,,"A bradycardia associated with the generation of impules in the ventricles when impules from the atria fail to reach them, characterized by an electrocardiogram showing a heart rate below 50 BPM and a broad QRS complex.",,,ventricular escape rhythm|idioventricular rhythm,,symptoms,,,,,,,,,,SYMP:0000897,,,ventricular bradycardia,,SYMP:0000897,,
http://purl.obolibrary.org/obo/SYMP_0000899,ventricular fibrillation,v-fib,"A cardiac fibrillation associated with quivering of the lower chambers of the heart, preventing blood from being pumped and causing cardiac arrest.",false,,,http://purl.obolibrary.org/obo/SYMP_0000898,,"A cardiac fibrillation associated with quivering of the lower chambers of the heart, preventing blood from being pumped and causing cardiac arrest.",,,v-fib,,symptoms,,,,,,,,,,SYMP:0000899,,,ventricular fibrillation,,SYMP:0000899,,
http://purl.obolibrary.org/obo/SYMP_0000894,cold clammy skin,,"A skin and integumentary tissue symptom that is characterized by cold, moist and sticky skin.",false,,,http://purl.obolibrary.org/obo/SYMP_0000488,,"A skin and integumentary tissue symptom that is characterized by cold, moist and sticky skin.",,,,,symptoms,,,,,,lschriml,2011-11-17T12:27:44Z,,,SYMP:0000894,,,cold clammy skin,,SYMP:0000894,,
http://purl.obolibrary.org/obo/SYMP_0000892,sensation perception,,A nervous system symptom that is characterized by interpretation of the information perceived by sensory receptors.,false,,,http://purl.obolibrary.org/obo/SYMP_0000480,,A nervous system symptom that is characterized by interpretation of the information perceived by sensory receptors.,,,,,symptoms,,,,,,lschriml,2010-10-15T11:54:30Z,,,SYMP:0000892,,,sensation perception,,SYMP:0000892,,
http://purl.obolibrary.org/obo/SYMP_0000895,anaphylactic shock,anaphylaxis,An acute allergic reaction to an antigen to which the body has become hypersensitive.,false,,,http://purl.obolibrary.org/obo/SYMP_0019138,,An acute allergic reaction to an antigen to which the body has become hypersensitive.,,,anaphylaxis,,symptoms,,,,,,,,,,SYMP:0000895,,,anaphylactic shock,,SYMP:0000895,,
http://purl.obolibrary.org/obo/SYMP_0000893,hypotensive,,"A low blood pressure characterized by or due to abnormally low blood pressure, especially in the arteries of the systemic circulation.",false,,,http://purl.obolibrary.org/obo/SYMP_0000692,,"A low blood pressure characterized by or due to abnormally low blood pressure, especially in the arteries of the systemic circulation.",,,,,symptoms,,,,,,lschriml,2011-11-17T12:20:22Z,,,SYMP:0000893,,,hypotensive,,SYMP:0000893,,
http://purl.obolibrary.org/obo/SYMP_0000896,exophthalmos,exophthalmus|exophthalmia|proptosis,An abnormal protrusion or displacement of an eye or other body part.|doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0019163,,An abnormal protrusion or displacement of an eye or other body part.,,,exophthalmus|exophthalmia|proptosis,,symptoms,,,,,,,,,,SYMP:0000896,,doid/symp duplicate,exophthalmos,,SYMP:0000896,,
http://purl.obolibrary.org/obo/SYMP_0000898,cardiac fibrillation,,"An arrhythmia characterized by rapid, irregular, and unsynchronized contraction of muscle fibers within the heart.",false,,,http://purl.obolibrary.org/obo/SYMP_0000287,,"An arrhythmia characterized by rapid, irregular, and unsynchronized contraction of muscle fibers within the heart.",,,,,symptoms,,,,,,,,,,SYMP:0000898,,,cardiac fibrillation,,SYMP:0000898,,
http://purl.obolibrary.org/obo/SYMP_0000891,musculoskeletal system symptom,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000462,,,,,,,symptoms,,,,,,lschriml,2010-10-15T11:48:05Z,,,SYMP:0000891,,,musculoskeletal system symptom,,SYMP:0000891,,
http://purl.obolibrary.org/obo/SYMP_0000890,relapsing fever,,A fever that is characterized by  body temperature periodically rising and falling.|doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0000613,,A fever that is characterized by  body temperature periodically rising and falling.,,,,,symptoms,,,,,,lschriml,2010-10-15T11:46:03Z,,,SYMP:0000890,,doid/symp duplicate,relapsing fever,,SYMP:0000890,,
http://purl.obolibrary.org/obo/SYMP_0000508,aphasia,inability to comprehend language,A nervous system symptom that is characterized by a loss or impairment of the power to use or comprehend words usually resulting from brain damage.|doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0000480,UMLS_CUI:C0003537|ICD9CM_2005:784.3|UMLS_ICD9CM_2005_AUI:A0025556,A nervous system symptom that is characterized by a loss or impairment of the power to use or comprehend words usually resulting from brain damage.,,,inability to comprehend language,,symptoms,,,,,,,,,,SYMP:0000508,,doid/symp duplicate,aphasia,,SYMP:0000508,,
http://purl.obolibrary.org/obo/SYMP_0000500,right lower quadrant abdominal tenderness,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000484,ICD9CM_2005:789.63|UMLS_CUI:C0238570,,,,,,symptoms,,,,,,,,,,SYMP:0000500,,,right lower quadrant abdominal tenderness,,SYMP:0000500,,
http://purl.obolibrary.org/obo/SYMP_0000503,adult failure to thrive,,"A nutrition, metabolism, and development symptom that is characterized by a physical decline in health seen in older adults – typically those with multiple chronic medical conditions – resulting in decreased appetite and poor nutrition, weight loss, inactivity, often accompanied by dehydration, depression, decreasing functional ability, and impaired immune function.",false,,,http://purl.obolibrary.org/obo/SYMP_0000473,ICD9CM_2005:783.7|UMLS_ICD9CM_2005_AUI:A1892736|UMLS_CUI:C1268580,"A nutrition, metabolism, and development symptom that is characterized by a physical decline in health seen in older adults – typically those with multiple chronic medical conditions – resulting in decreased appetite and poor nutrition, weight loss, inactivity, often accompanied by dehydration, depression, decreasing functional ability, and impaired immune function.",,,,,symptoms,,,,,,,,,,SYMP:0000503,,,adult failure to thrive,,SYMP:0000503,,
http://purl.obolibrary.org/obo/SYMP_0000505,throat pain,sore throat,A pain that is characterized by a painful throat due to inflammation of the fauces and pharynx.,false,,,http://purl.obolibrary.org/obo/SYMP_0000099,ICD9CM_2005:784.1|UMLS_CUI:C0242429|UMLS_ICD9CM_2005_AUI:A0284175,A pain that is characterized by a painful throat due to inflammation of the fauces and pharynx.,,,sore throat,,symptoms,,,,,,,,,,SYMP:0000505,,,throat pain,,SYMP:0000505,,
http://purl.obolibrary.org/obo/SYMP_0000504,headache,cephalalgia,A pain that is characterized by a pain in the head.,false,,,http://purl.obolibrary.org/obo/SYMP_0000099,UMLS_CUI:C0018681|ICD9CM_2005:784.0|UMLS_ICD9CM_2005_AUI:A0065994,A pain that is characterized by a pain in the head.,,,cephalalgia,,symptoms,,,,,,,,,,SYMP:0000504,,,headache,,SYMP:0000504,,
http://purl.obolibrary.org/obo/SYMP_0000509,flatulence,gas production|gas,,false,,,http://purl.obolibrary.org/obo/SYMP_0000459,UMLS_CUI:C0016205|ICD9CM_2005:787.3|UMLS_ICD9CM_2005_AUI:A0243846,,,SYMP:0000708,gas production|gas,,symptoms,,,,,,,,,,SYMP:0000509,,,flatulence,,SYMP:0000509,,
http://purl.obolibrary.org/obo/SYMP_0000502,mixed incontinence (female) (male),,"A urinary incontinence that is characterized by urine leakage when you sneeze, cough, laugh, do jarring exercise, or lift something heavy. It is typically a combination of stress and urge incontinence.",false,,,http://purl.obolibrary.org/obo/SYMP_0000492,ICD9CM_2005:788.33|UMLS_CUI:C0375550|UMLS_ICD9CM_2005_AUI:A0745756,"A urinary incontinence that is characterized by urine leakage when you sneeze, cough, laugh, do jarring exercise, or lift something heavy. It is typically a combination of stress and urge incontinence.",,,,,symptoms,,,,,,,,,,SYMP:0000502,,,mixed incontinence (female) (male),,SYMP:0000502,,
http://purl.obolibrary.org/obo/SYMP_0000506,hemorrhage from throat,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000385,ICD9CM_2005:784.8|UMLS_CUI:C0576995|UMLS_ICD9CM_2005_AUI:A0284188,,,,,,symptoms,,,,,,,,,,SYMP:0000506,,,hemorrhage from throat,,SYMP:0000506,,
http://purl.obolibrary.org/obo/SYMP_0000501,left lower quadrant abdominal swelling,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000478,ICD9CM_2005:789.34|UMLS_ICD9CM_2005_AUI:A0637123|UMLS_CUI:C0375560,,,,,,symptoms,,,,,,,,,,SYMP:0000501,,,left lower quadrant abdominal swelling,,SYMP:0000501,,
http://purl.obolibrary.org/obo/SYMP_0000507,head swelling,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000387,UMLS_CUI:C0159045|ICD9CM_2005:784.2|UMLS_ICD9CM_2005_AUI:A0284180,,,,,,symptoms,,,,,,,,,,SYMP:0000507,,,head swelling,,SYMP:0000507,,
http://purl.obolibrary.org/obo/SYMP_0000589,slowing of urinary stream,,A urinary stream symptom that is characterized by a slow or weak stream of urine.,false,,,http://purl.obolibrary.org/obo/SYMP_0000573,UMLS_CUI:C0232854|UMLS_ICD9CM_2005_AUI:A0459374|ICD9CM_2005:788.62,A urinary stream symptom that is characterized by a slow or weak stream of urine.,,,,,symptoms,,,,,,,,,,SYMP:0000589,,,slowing of urinary stream,,SYMP:0000589,,
http://purl.obolibrary.org/obo/SYMP_0000587,abnormal chest sound,,"A respiratory system and chest symptom that is characterized by a sound of breathing that is not similar to that of the sound of moving air and may include: rhonchi (a low-pitched breath sound), crackles (a high-pitched breath sound), wheezing (a high-pitched whistling sound caused by narrowing of the bronchial tubes), and stridor (a harsh, vibratory sound caused by narrowing of the upper airway).",false,,,http://purl.obolibrary.org/obo/SYMP_0000514,UMLS_CUI:C0159056|ICD9CM_2005:786.7|UMLS_ICD9CM_2005_AUI:A0284219,"A respiratory system and chest symptom that is characterized by a sound of breathing that is not similar to that of the sound of moving air and may include: rhonchi (a low-pitched breath sound), crackles (a high-pitched breath sound), wheezing (a high-pitched whistling sound caused by narrowing of the bronchial tubes), and stridor (a harsh, vibratory sound caused by narrowing of the upper airway).",,,,,symptoms,,,,,,,,,,SYMP:0000587,,,abnormal chest sound,,SYMP:0000587,,
http://purl.obolibrary.org/obo/SYMP_0000584,disruptions of 24-hour sleep-wake cycle,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000566,UMLS_CUI:C0159031|ICD9CM_2005:780.55|UMLS_ICD9CM_2005_AUI:A0284127,,,,,,symptoms,,,,,,,,,,SYMP:0000584,,,disruptions of 24-hour sleep-wake cycle,,SYMP:0000584,,
http://purl.obolibrary.org/obo/SYMP_0000585,sleep related movement disorder,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000566,UMLS_CUI:C1455873|UMLS_ICD9CM_2005_AUI:A6995224|ICD9CM_2005:780.58,,,,,,symptoms,,,,,,,,,,SYMP:0000585,,,sleep related movement disorder,,SYMP:0000585,,
http://purl.obolibrary.org/obo/SYMP_0000582,hypersomnia,,Hypersomnia is a sleep disturbance characterized by sleeping for excessive periods at intervals with intervening periods of normal duration of sleeping and waking.,false,,,http://purl.obolibrary.org/obo/SYMP_0000566,UMLS_CUI:C0029637|ICD9CM_2005:780.54|UMLS_ICD9CM_2005_AUI:A0243739,Hypersomnia is a sleep disturbance characterized by sleeping for excessive periods at intervals with intervening periods of normal duration of sleeping and waking.,,,,,symptoms,,,,,,,,,,SYMP:0000582,,,hypersomnia,,SYMP:0000582,,
http://purl.obolibrary.org/obo/SYMP_0000586,overflow incontinence,,"A urinary incontinence that is characterized by a bladder that does not empty completely, resulting in a bladder that is too full, which leads to overflow and unexpected leaking.",false,,,http://purl.obolibrary.org/obo/SYMP_0000492,UMLS_ICD9CM_2005_AUI:A6994689|ICD9CM_2005:788.38|UMLS_CUI:C0312413,"A urinary incontinence that is characterized by a bladder that does not empty completely, resulting in a bladder that is too full, which leads to overflow and unexpected leaking.",,,,,symptoms,,,,,,,,,,SYMP:0000586,,,overflow incontinence,,SYMP:0000586,,
