Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,Definition Chinese,Definition English,Definition Japanese,Definition Korean,http://data.bioontology.org/metadata/prefixIRI,Original Code,Original Source,Title Chinese,Title English,Title Japanese,Title Korean
http://who.int/ictm/signsAndSymptoms#TM529482,Heart pain / 心痛,,,false,,,http://www.w3.org/2002/07/owl#Thing,膻中部位以及左胸内疼痛的症状。心痛可归属于广义的胸痛范畴。多因痰浊瘀血内阻，阳虚寒凝，或阴血亏虚等所致。心痛常见于心系疾病，如胸痹心痛、厥心痛、心痹、心瘅、支饮等。,"It refers to pain in the area where Danzhong (CV17) is located and left side of the chest, pertaining to the category of chest pain. It is usually caused by interior blockage of stagnant blood and phlegm turbidity, cold coagulation due to yang deficiency, or deficiency of yin blood. It can be seen in heart system diseases, such as chest impediment, heart pain, precordial pain, heart impediment, heart heat syndrome, thoracic retention of fluids, etc.",,,TM529482,22.23,GB97,心痛,Heart pain,,
http://who.int/ictm/signsAndSymptoms#TM529483,heat in the palms and soles / 手足心熱,,,false,,,http://www.w3.org/2002/07/owl#Thing,,subjective feverish feeling in the palms and soles ,,,TM529483,2.3.25,IST WPRO,手足心熱,heat in the palms and soles,,
http://who.int/ictm/signsAndSymptoms#TM529486,heavy head and light feet / 頭重脚輕,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"the subjective sensation whereby head is heavier than feet, accompanied by unsteady gait",,,TM529486,2.3.95,IST WPRO,頭重脚輕,heavy head and light feet,,
http://who.int/ictm/signsAndSymptoms#TM529489,heel pain / 足跟痛,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"pain in either or both heels, worsened by standing and walking",,,TM529489,2.3.72,IST WPRO,足跟痛,heel pain,,
http://who.int/ictm/signsAndSymptoms#TM529484,heat vexation / 煩熱,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"fever accompanied by uneasiness or restlessness, also known as irritable heat sensation",,,TM529484,2.3.23,IST WPRO,煩熱,heat vexation,,
http://who.int/ictm/signsAndSymptoms#TM529481,headache and painful stiff nape / 頭項强痛,,,false,,,http://www.w3.org/2002/07/owl#Thing,,headache accompanied by rigidity and pain of the nape,,,TM529481,2.3.59,IST WPRO,頭項强痛,headache and painful stiff nape,,
http://who.int/ictm/signsAndSymptoms#TM529480,headache / 头痛,,,false,,,http://www.w3.org/2002/07/owl#Thing,患者自觉头部疼痛的症状。,pain in the head,,,TM529480,2.3.57 AND 22.5,IST WPRO and GB 97,头痛,headache,,
http://who.int/ictm/signsAndSymptoms#TM529488,heavy-headedness / 頭重,,,false,,,http://www.w3.org/2002/07/owl#Thing,,feeling of heaviness in the head,,,TM529488,2.3.60,IST WPRO,頭重,heavy-headedness,,
http://who.int/ictm/signsAndSymptoms#TM529485,heavy body / 身重,,,false,,,http://www.w3.org/2002/07/owl#Thing,,the subjective heaviness sensation of the body with difficult movement,,,TM529485,2.3.96,IST WPRO,身重,heavy body,,
http://who.int/ictm/signsAndSymptoms#TM529487,heavy pain / 重痛,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a pain accompanied by heaviness sensation,,,TM529487,2.3.78,IST WPRO,重痛,heavy pain,,
http://who.int/ictm/signsAndSymptoms#TM529618,stool sometimes sloppy and sometimes bound / 溏結不調,,,false,,,http://www.w3.org/2002/07/owl#Thing,,stool that varies greatly in consistency ,,,TM529618,2.3.186,IST WPRO,溏結不調,stool sometimes sloppy and sometimes bound,,
http://who.int/ictm/signsAndSymptoms#TM529615,stiffness of the neck / 項强,,,false,,,http://www.w3.org/2002/07/owl#Thing,,muscular contraction and rigidity of the neck and the upper back with impaired movement,,,TM529615,2.3.58,IST WPRO,項强,stiffness of the neck,,
http://who.int/ictm/signsAndSymptoms#TM529611,steaming bone / 骨蒸,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a subjective feeling of fever deep in the body, which appears to emanate from the bone or marrow",,,TM529611,2.3.19,IST WPRO,骨蒸,steaming bone,,
http://who.int/ictm/signsAndSymptoms#TM529619,stuffiness / 痞,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a localized subjective feeling of fullness and blockage,,,TM529619,2.3.152,IST WPRO,痞,stuffiness,,
http://who.int/ictm/signsAndSymptoms#TM529613,sticky slimy sensation in the mouth / 口粘膩,,,false,,,http://www.w3.org/2002/07/owl#Thing,,an unpleasant subjective sensation of stickiness in the mouth,,,TM529613,2.3.127,IST WPRO,口粘膩,sticky slimy sensation in the mouth,,
http://who.int/ictm/signsAndSymptoms#TM529614,stiff tongue / 强硬舌,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a tongue that is stiff, moves sluggishly, and inhibits speech",,,TM529614,2.1.68,IST WPRO,强硬舌,stiff tongue,,
http://who.int/ictm/signsAndSymptoms#TM529610,stained fur / 染苔,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a tongue coating that is stained, often by food or medicine",,,TM529610,2.1.100,IST WPRO,染苔,stained fur,,
http://who.int/ictm/signsAndSymptoms#TM529612,sticky slimy fur / 粘膩苔,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a dense, turbid, slimy tongue coating, covered with a layer of thick turbid mucus",,,TM529612,2.1.96,IST WPRO,粘膩苔,sticky slimy fur,,
http://who.int/ictm/signsAndSymptoms#TM529616,stomach pain / 脘痛; 胃痛,,,false,,,http://www.w3.org/2002/07/owl#Thing,,the same as epigastric pain,,,TM529616,2.3.66,IST WPRO,脘痛; 胃痛,stomach pain,,
http://who.int/ictm/signsAndSymptoms#TM529617,stool containing pus and blood / 便膿血,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"passage of blood, pus and mucus together with stool, a symptom usually indicating dysentery",,,TM529617,2.3.187,IST WPRO,便膿血,stool containing pus and blood,,
